"wojewodztwo" "godzina" "srednia_l_opozn" "srednia_l_poc" "procent_opozn_poc"
"Czechy" "06" 0 1 0
"Czechy" "09" 0.166666666666667 1 0.166666666666667
"Czechy" "10" 0.916666666666667 1 0.916666666666667
"Czechy" "13" 0.5 2 0.25
"Czechy" "16" 0.75 1 0.75
"Czechy" "17" 0.75 2 0.375
"Czechy" "18" 0.333333333333333 1 0.333333333333333
"Czechy" "21" 0.75 1 0.75
"Czechy" "22" 0.5 1 0.5
"Litwa" "13" 0.333333333333333 1 0.333333333333333
"Niemcy" "08" 0.666666666666667 1 0.666666666666667
"Niemcy" "09" 0.363636363636364 1 0.363636363636364
"Niemcy" "11" 0.166666666666667 1 0.166666666666667
"Niemcy" "13" 0.555555555555556 1 0.555555555555556
"Niemcy" "14" 0.75 1 0.75
"Niemcy" "16" 0.5 1 0.5
"Niemcy" "17" 0.75 1 0.75
"Niemcy" "21" 1 1 1
"dolnośląskie" "03" 0.818181818181818 1.09090909090909 0.75
"dolnośląskie" "04" 2.33333333333333 7.33333333333333 0.318181818181818
"dolnośląskie" "05" 5.58333333333333 8.08333333333333 0.690721649484536
"dolnośląskie" "06" 3.08333333333333 8 0.385416666666667
"dolnośląskie" "07" 5.75 16.6666666666667 0.345
"dolnośląskie" "08" 7.08333333333333 19 0.37280701754386
"dolnośląskie" "09" 6.16666666666667 15.5 0.397849462365591
"dolnośląskie" "10" 8.41666666666667 13.1666666666667 0.639240506329114
"dolnośląskie" "11" 10.5833333333333 23.9166666666667 0.442508710801394
"dolnośląskie" "12" 15 26.5 0.566037735849057
"dolnośląskie" "13" 14.0833333333333 21.1666666666667 0.665354330708661
"dolnośląskie" "14" 12.9166666666667 19.1666666666667 0.673913043478261
"dolnośląskie" "15" 14.9166666666667 21.1666666666667 0.704724409448819
"dolnośląskie" "16" 10.75 20.25 0.530864197530864
"dolnośląskie" "17" 6.75 11.8333333333333 0.570422535211268
"dolnośląskie" "18" 9.33333333333333 14.1666666666667 0.658823529411765
"dolnośląskie" "19" 6.91666666666667 17.3333333333333 0.399038461538462
"dolnośląskie" "20" 8.58333333333333 21.3333333333333 0.40234375
