super_krawedz,okresB_id,czy_opoznienie_wyjazd,czy_opoznienie_przyjazd,nazwa_pociagu,czas_przejazdu_super_krawedz
"('Biała Podlaska', 'Terespol')",2023-03-19 14:00,1,0,8,26.0
"('Bochnia', 'Kraków Płaszów')",2023-03-13 12:00,2,3,3,20.0
"('Bochnia', 'Kraków Płaszów')",2023-03-23 18:00,1,1,3,20.0
"('Bochnia', 'Tarnów')",2023-03-13 16:00,2,2,4,19.0
"('Brzeg', 'Opole Główne')",2023-03-13 06:00,1,0,2,27.0
"('Brzeg', 'Opole Główne')",2023-03-20 06:00,1,1,2,27.0
"('Brzeg', 'Opole Główne')",2023-03-21 06:00,2,2,3,27.0
"('Brzeg', 'Opole Główne')",2023-03-22 06:00,1,1,2,27.0
"('Brzeg', 'Wrocław Główny')",2023-03-23 20:00,2,2,2,25.0
"('Brzeg', 'Wrocław Główny')",2023-03-24 18:00,3,3,7,25.0
"('Bydgoszcz Główna', 'Inowrocław')",2023-03-20 10:00,2,2,3,30.0
"('Bydgoszcz Główna', 'Laskowice Pomorskie')",2023-03-14 14:00,3,3,3,41.0
"('Bydgoszcz Główna', 'Laskowice Pomorskie')",2023-03-16 20:00,2,2,3,41.0
"('Bydgoszcz Główna', 'Laskowice Pomorskie')",2023-03-20 14:00,1,0,3,41.0
"('Bydgoszcz Główna', 'Laskowice Pomorskie')",2023-03-23 14:00,1,0,3,41.0
"('Chałupki', 'Bohumin')",2023-03-13 16:00,1,1,3,11.0
"('Chałupki', 'Bohumin')",2023-03-14 16:00,1,1,3,11.0
"('Chałupki', 'Bohumin')",2023-03-15 16:00,1,1,3,11.0
"('Chałupki', 'Bohumin')",2023-03-17 16:00,3,3,3,11.0
"('Chałupki', 'Bohumin')",2023-03-20 16:00,1,1,3,11.0
"('Chałupki', 'Bohumin')",2023-03-21 16:00,1,1,3,11.0
"('Chałupki', 'Bohumin')",2023-03-22 16:00,1,1,3,11.0
"('Chałupki', 'Rybnik')",2023-03-16 10:00,4,4,4,42.0
"('Chałupki', 'Rybnik')",2023-03-23 10:00,5,4,5,42.0
"('Częstochowa Stradom', 'Lubliniec')",2023-03-18 08:00,1,1,2,23.0
"('Działdowo', 'Iława Główna')",2023-03-14 06:00,1,1,4,34.0
"('Działdowo', 'Iława Główna')",2023-03-16 06:00,3,3,4,34.0
"('Działdowo', 'Iława Główna')",2023-03-17 06:00,1,1,4,34.0
"('Działdowo', 'Iława Główna')",2023-03-20 06:00,1,1,4,34.0
"('Działdowo', 'Iława Główna')",2023-03-23 06:00,1,0,3,34.0
"('Dąbrowa Górnicza', 'Sosnowiec Główny')",2023-03-14 14:00,2,2,7,12.0
"('Dąbrowa Górnicza', 'Sosnowiec Główny')",2023-03-20 14:00,1,1,3,12.0
"('Dąbrowa Górnicza', 'Zawiercie')",2023-03-13 12:00,1,0,3,20.0
"('Dąbrowa Górnicza', 'Zawiercie')",2023-03-15 12:00,1,1,3,20.0
"('Dąbrowa Górnicza', 'Zawiercie')",2023-03-16 12:00,1,1,3,20.0
"('Dąbrowa Górnicza', 'Zawiercie')",2023-03-17 12:00,1,1,3,20.0
"('Dąbrowa Górnicza', 'Zawiercie')",2023-03-19 12:00,2,1,3,20.0
"('Dąbrowa Górnicza', 'Zawiercie')",2023-03-20 12:00,2,2,3,20.0
"('Dąbrowa Górnicza', 'Zawiercie')",2023-03-23 12:00,2,2,3,20.0
"('Dąbrowa Górnicza', 'Zawiercie')",2023-03-24 16:00,1,1,3,20.0
"('Dębica', 'Rzeszów Główny')",2023-03-13 16:00,1,1,5,23.0
"('Dębica', 'Rzeszów Główny')",2023-03-15 16:00,4,4,5,23.0
"('Dębica', 'Rzeszów Główny')",2023-03-19 20:00,2,2,5,23.0
"('Dębica', 'Rzeszów Główny')",2023-03-22 20:00,2,1,5,23.0
"('Dębica', 'Rzeszów Główny')",2023-03-24 20:00,5,5,5,23.0
"('Dębica', 'Tarnów')",2023-03-19 06:00,1,1,2,18.0
"('Dębica', 'Tarnów')",2023-03-24 16:00,1,1,1,18.0
"('Dęblin', 'Puławy Miasto')",2023-03-16 18:00,3,3,4,11.0
"('Gniezno', 'Mogilno')",2023-03-14 18:00,3,3,3,17.0
"('Gniezno', 'Mogilno')",2023-03-16 06:00,2,2,3,17.0
"('Gniezno', 'Mogilno')",2023-03-20 18:00,1,1,3,17.0
"('Gniezno', 'Mogilno')",2023-03-21 06:00,1,1,3,17.0
"('Gniezno', 'Mogilno')",2023-03-24 16:00,3,3,3,17.0
"('Gniezno', 'Poznań Główny')",2023-03-13 08:00,2,0,3,28.0
"('Gniezno', 'Poznań Główny')",2023-03-13 12:00,2,2,3,28.0
"('Gniezno', 'Poznań Główny')",2023-03-16 08:00,1,3,3,28.0
"('Gniezno', 'Poznań Główny')",2023-03-17 08:00,1,2,3,28.0
"('Gniezno', 'Poznań Główny')",2023-03-18 08:00,1,0,3,28.0
"('Gniezno', 'Poznań Główny')",2023-03-18 18:00,1,1,3,28.0
"('Gniezno', 'Poznań Główny')",2023-03-22 08:00,1,3,3,28.0
"('Gniezno', 'Poznań Główny')",2023-03-23 08:00,2,1,3,28.0
"('Grodzisk Mazowiecki', 'Warszawa Gdańska')",2023-03-17 22:00,1,1,3,29.0
"('Grodzisk Mazowiecki', 'Warszawa Gdańska')",2023-03-19 22:00,1,1,3,29.0
"('Grodzisk Mazowiecki', 'Warszawa Gdańska')",2023-03-20 22:00,1,1,3,29.0
"('Inowrocław', 'Bydgoszcz Główna')",2023-03-14 14:00,2,2,3,27.0
"('Inowrocław', 'Mogilno')",2023-03-15 20:00,1,1,3,18.0
"('Inowrocław', 'Mogilno')",2023-03-17 20:00,2,2,3,18.0
"('Inowrocław', 'Mogilno')",2023-03-18 20:00,1,1,3,18.0
"('Inowrocław', 'Mogilno')",2023-03-19 20:00,2,2,3,18.0
"('Inowrocław', 'Mogilno')",2023-03-21 20:00,1,1,3,18.0
"('Inowrocław', 'Mogilno')",2023-03-22 20:00,1,1,3,18.0
"('Iława Główna', 'Malbork')",2023-03-17 16:00,2,2,3,35.0
"('Iława Główna', 'Malbork')",2023-03-18 16:00,2,1,4,35.0
"('Iława Główna', 'Malbork')",2023-03-20 16:00,2,2,4,35.0
"('Iława Główna', 'Malbork')",2023-03-21 16:00,1,1,3,35.0
"('Jabłonowo Pomorskie', 'Iława Główna')",2023-03-17 16:00,1,3,3,23.0
"('Janowice Wielkie', 'Jaworzyna Śląska')",2023-03-20 14:00,1,1,8,64.0
"('Jarosław', 'Przemyśl Zasanie')",2023-03-13 12:00,2,2,5,31.0
"('Jarosław', 'Przemyśl Zasanie')",2023-03-14 12:00,2,2,5,31.0
"('Jarosław', 'Przemyśl Zasanie')",2023-03-20 12:00,1,1,5,31.0
"('Jarosław', 'Przemyśl Zasanie')",2023-03-21 12:00,2,2,5,31.0
"('Jarosław', 'Przeworsk')",2023-03-13 14:00,1,1,3,11.0
"('Jarosław', 'Przeworsk')",2023-03-17 14:00,2,2,3,11.0
"('Jarosław', 'Przeworsk')",2023-03-19 14:00,1,1,3,11.0
"('Jarosław', 'Przeworsk')",2023-03-21 14:00,2,2,3,11.0
"('Jarosław', 'Przeworsk')",2023-03-24 14:00,2,2,3,11.0
"('Jaworzno Szczakowa', 'Katowice')",2023-03-13 14:00,3,3,5,23.0
"('Jaworzno Szczakowa', 'Katowice')",2023-03-14 14:00,2,2,6,23.0
"('Jaworzno Szczakowa', 'Katowice')",2023-03-15 14:00,4,4,6,23.0
"('Jaworzno Szczakowa', 'Katowice')",2023-03-17 14:00,4,5,6,23.0
"('Jaworzno Szczakowa', 'Katowice')",2023-03-24 14:00,2,2,5,23.0
"('Katowice', 'Sosnowiec Główny')",2023-03-13 12:00,2,2,4,12.0
"('Katowice', 'Sosnowiec Główny')",2023-03-13 18:00,2,2,4,12.0
"('Katowice', 'Sosnowiec Główny')",2023-03-15 12:00,1,1,2,12.0
"('Katowice', 'Sosnowiec Główny')",2023-03-16 12:00,1,1,3,12.0
"('Katowice', 'Sosnowiec Główny')",2023-03-17 08:00,1,1,2,12.0
"('Katowice', 'Sosnowiec Główny')",2023-03-17 12:00,2,2,5,12.0
"('Katowice', 'Sosnowiec Główny')",2023-03-18 06:00,1,1,3,12.0
"('Katowice', 'Sosnowiec Główny')",2023-03-19 12:00,1,2,2,12.0
"('Katowice', 'Sosnowiec Główny')",2023-03-20 12:00,2,2,3,12.0
"('Katowice', 'Sosnowiec Główny')",2023-03-21 12:00,1,1,2,12.0
"('Katowice', 'Sosnowiec Główny')",2023-03-22 12:00,1,0,2,12.0
"('Katowice', 'Sosnowiec Główny')",2023-03-23 12:00,2,2,5,12.0
"('Katowice', 'Sosnowiec Główny')",2023-03-24 12:00,2,2,5,12.0
"('Katowice', 'Tychy')",2023-03-14 08:00,1,1,3,19.0
"('Katowice', 'Tychy')",2023-03-19 08:00,1,0,3,19.0
"('Katowice', 'Tychy')",2023-03-21 08:00,1,0,3,19.0
"('Katowice', 'Zabrze')",2023-03-13 14:00,4,4,5,20.0
"('Katowice', 'Zabrze')",2023-03-16 06:00,2,2,5,20.0
"('Katowice', 'Zabrze')",2023-03-21 06:00,1,1,3,20.0
"('Konin', 'Kutno')",2023-03-16 16:00,2,2,3,48.0
"('Konin', 'Kutno')",2023-03-17 16:00,4,4,6,48.0
"('Konin', 'Kutno')",2023-03-18 16:00,2,2,2,48.0
"('Konin', 'Kutno')",2023-03-19 16:00,4,6,6,48.0
"('Konin', 'Kutno')",2023-03-20 16:00,2,2,2,48.0
"('Konin', 'Kutno')",2023-03-21 16:00,2,2,3,48.0
"('Koszalin', 'Słupsk')",2023-03-23 12:00,3,3,5,40.0
"('Koszalin', 'Słupsk')",2023-03-24 16:00,1,1,5,40.0
"('Kraków Główny', 'Kraków Płaszów')",2023-03-14 16:00,2,2,3,20.0
"('Kraków Główny', 'Kraków Płaszów')",2023-03-16 14:00,2,2,4,20.0
"('Kraków Główny', 'Kraków Płaszów')",2023-03-20 14:00,1,1,4,20.0
"('Kraków Główny', 'Kraków Płaszów')",2023-03-21 14:00,1,2,4,20.0
"('Kraków Główny', 'Kraków Płaszów')",2023-03-22 08:00,2,1,3,20.0
"('Kraków Główny', 'Kraków Płaszów')",2023-03-22 14:00,1,1,3,20.0
"('Kraków Główny', 'Kraków Płaszów')",2023-03-23 14:00,1,2,3,20.0
"('Kutno', 'Konin')",2023-03-21 10:00,4,4,6,48.0
"('Kutno', 'Toruń Główny')",2023-03-19 12:00,3,5,6,74.0
"('Kutno', 'Łowicz Główny')",2023-03-15 20:00,2,2,3,28.0
"('Kutno', 'Łowicz Główny')",2023-03-16 10:00,2,2,3,28.0
"('Kutno', 'Łowicz Główny')",2023-03-17 10:00,2,1,3,28.0
"('Kutno', 'Łowicz Główny')",2023-03-24 10:00,3,1,3,28.0
"('Laskowice Pomorskie', 'Bydgoszcz Główna')",2023-03-18 16:00,2,1,3,35.0
"('Laskowice Pomorskie', 'Tczew')",2023-03-18 20:00,3,3,3,41.0
"('Laskowice Pomorskie', 'Tczew')",2023-03-20 20:00,1,1,3,41.0
"('Legionowo', 'Nowy Dwór Mazowiecki')",2023-03-13 16:00,3,3,3,9.0
"('Legionowo', 'Nowy Dwór Mazowiecki')",2023-03-14 16:00,2,2,3,9.0
"('Legionowo', 'Nowy Dwór Mazowiecki')",2023-03-15 10:00,1,1,3,9.0
"('Legionowo', 'Nowy Dwór Mazowiecki')",2023-03-17 10:00,3,3,3,9.0
"('Legionowo', 'Nowy Dwór Mazowiecki')",2023-03-17 16:00,2,2,3,9.0
"('Legionowo', 'Nowy Dwór Mazowiecki')",2023-03-18 10:00,1,1,3,9.0
"('Legionowo', 'Nowy Dwór Mazowiecki')",2023-03-20 10:00,3,3,3,9.0
