,nazwa_pociagu,data,czas_rozkladowy,opoznienie,opoznienie_netto,stacja_wyjazdu,stacja_przyjazdu,super_krawedz,data_czas_rozkładowy,mini_krawedz,czas_przejazdu_mini_krawedz,czas_przejazdu_super_krawedz,opoznienie_poczatkowe,czy_opoznienie_wyjazd,czy_opoznienie_przyjazd,rzeczywisty_czas_wyjazdu,okres_id,przejazd_id,kategoria,okresB_id
57,ECE 14000/1 SILESIA,17.03,05:19,0.0,0.0,Warszawa Centralna,Warszawa Zachodnia,"('Warszawa Wschodnia', 'Warszawa Zachodnia')",2023-03-17 05:19:00,"('Warszawa Centralna', 'Warszawa Zachodnia')",12.0,24.0,0.0,False,False,2023-03-17 05:07:00,2023-03-17 05:00:00,ECE 14000/1 SILESIA 2023-03-17 05:19:00,A,2023-03-17 04:00
204,ECE 14002/3 POLONIA,17.03,06:06,0.0,0.0,Warszawa Wschodnia,Warszawa Centralna,"('Warszawa Wschodnia', 'Warszawa Zachodnia')",2023-03-17 06:06:00,"('Warszawa Wschodnia', 'Warszawa Centralna')",12.0,24.0,0.0,False,False,2023-03-17 05:54:00,2023-03-17 05:00:00,ECE 14002/3 POLONIA 2023-03-17 06:06:00,A,2023-03-17 04:00
205,ECE 14002/3 POLONIA,17.03,06:22,2.0,2.0,Warszawa Centralna,Warszawa Zachodnia,"('Warszawa Wschodnia', 'Warszawa Zachodnia')",2023-03-17 06:22:00,"('Warszawa Centralna', 'Warszawa Zachodnia')",12.0,24.0,0.0,False,False,2023-03-17 06:10:00,2023-03-17 06:00:00,ECE 14002/3 POLONIA 2023-03-17 06:22:00,A,2023-03-17 06:00
480,ECE 14006/7 SILESIA,13.03,13:21,0.0,0.0,Warszawa Wschodnia,Warszawa Centralna,"('Warszawa Wschodnia', 'Warszawa Zachodnia')",2023-03-13 13:21:00,"('Warszawa Wschodnia', 'Warszawa Centralna')",12.0,24.0,0.0,False,False,2023-03-13 13:09:00,2023-03-13 13:00:00,ECE 14006/7 SILESIA 2023-03-13 13:21:00,A,2023-03-13 12:00
481,ECE 14006/7 SILESIA,13.03,13:33,6.0,6.0,Warszawa Centralna,Warszawa Zachodnia,"('Warszawa Wschodnia', 'Warszawa Zachodnia')",2023-03-13 13:33:00,"('Warszawa Centralna', 'Warszawa Zachodnia')",12.0,24.0,0.0,False,True,2023-03-13 13:21:00,2023-03-13 13:00:00,ECE 14006/7 SILESIA 2023-03-13 13:33:00,A,2023-03-13 12:00
506,ECE 14006/7 SILESIA,15.03,13:21,0.0,0.0,Warszawa Wschodnia,Warszawa Centralna,"('Warszawa Wschodnia', 'Warszawa Zachodnia')",2023-03-15 13:21:00,"('Warszawa Wschodnia', 'Warszawa Centralna')",12.0,24.0,0.0,False,False,2023-03-15 13:09:00,2023-03-15 13:00:00,ECE 14006/7 SILESIA 2023-03-15 13:21:00,A,2023-03-15 12:00
507,ECE 14006/7 SILESIA,15.03,13:33,0.0,0.0,Warszawa Centralna,Warszawa Zachodnia,"('Warszawa Wschodnia', 'Warszawa Zachodnia')",2023-03-15 13:33:00,"('Warszawa Centralna', 'Warszawa Zachodnia')",12.0,24.0,0.0,False,False,2023-03-15 13:21:00,2023-03-15 13:00:00,ECE 14006/7 SILESIA 2023-03-15 13:33:00,A,2023-03-15 12:00
519,ECE 14006/7 SILESIA,16.03,13:21,0.0,0.0,Warszawa Wschodnia,Warszawa Centralna,"('Warszawa Wschodnia', 'Warszawa Zachodnia')",2023-03-16 13:21:00,"('Warszawa Wschodnia', 'Warszawa Centralna')",12.0,24.0,0.0,False,False,2023-03-16 13:09:00,2023-03-16 13:00:00,ECE 14006/7 SILESIA 2023-03-16 13:21:00,A,2023-03-16 12:00
520,ECE 14006/7 SILESIA,16.03,13:33,0.0,0.0,Warszawa Centralna,Warszawa Zachodnia,"('Warszawa Wschodnia', 'Warszawa Zachodnia')",2023-03-16 13:33:00,"('Warszawa Centralna', 'Warszawa Zachodnia')",12.0,24.0,0.0,False,False,2023-03-16 13:21:00,2023-03-16 13:00:00,ECE 14006/7 SILESIA 2023-03-16 13:33:00,A,2023-03-16 12:00
532,ECE 14006/7 SILESIA,17.03,13:21,0.0,0.0,Warszawa Wschodnia,Warszawa Centralna,"('Warszawa Wschodnia', 'Warszawa Zachodnia')",2023-03-17 13:21:00,"('Warszawa Wschodnia', 'Warszawa Centralna')",12.0,24.0,0.0,False,False,2023-03-17 13:09:00,2023-03-17 13:00:00,ECE 14006/7 SILESIA 2023-03-17 13:21:00,A,2023-03-17 12:00
