wojewodztwo,data,beta,gamma,blad
dolnośląskie,13.03,0.08800295066238764,0.16496286744019378,0.00255543295048454
dolnośląskie,14.03,0.599972904741845,0.2932959403645573,0.0030296647928848537
dolnośląskie,15.03,0.8438167830393348,0.56497700677137,0.003387181740761662
dolnośląskie,16.03,0.8771284284340386,0.8184207900101518,0.003852585503615521
dolnośląskie,17.03,0.3044995516419858,0.07817583429056518,0.002366930854922659
dolnośląskie,18.03,0.36384660745416253,0.6565045089909813,0.004242089181936885
dolnośląskie,19.03,0.030889756775028823,0.7750930527342617,0.0030696286395977836
dolnośląskie,20.03,0.8916450609416786,0.7485771069183708,0.004306369369500681
dolnośląskie,21.03,0.10907021166676373,1.0,0.0011508590945027524
dolnośląskie,22.03,0.059273919492869157,0.29310923202863265,0.003155560646538453
dolnośląskie,23.03,0.2451218802647706,0.3154108023292768,0.003024137907386608
dolnośląskie,24.03,0.5053591136623717,0.7048121929183755,0.003744330281988804
kujawsko-pomorskie,13.03,0.8800586972660202,0.20649102959961102,0.0030090417003970143
kujawsko-pomorskie,14.03,0.11301990978516367,0.715431387609244,0.0033630845156556394
kujawsko-pomorskie,15.03,0.24848025169961,0.2605984179462736,0.0033067020895185344
kujawsko-pomorskie,16.03,0.8190297779708933,0.9308840122810894,0.0020524503888382606
kujawsko-pomorskie,17.03,0.3221339955725452,0.5511440768269469,0.005761013144010701
kujawsko-pomorskie,18.03,0.9363968657478203,0.6530802977101107,0.0019334130354480277
kujawsko-pomorskie,19.03,0.07028243046305307,0.9102040693622369,0.0013354946211030865
kujawsko-pomorskie,20.03,0.6499135511040128,0.5009267934498288,0.0033981614070702675
kujawsko-pomorskie,21.03,0.6984446493666252,0.20107475887679593,0.004610944356051842
kujawsko-pomorskie,22.03,0.25948700029830757,0.3299002459221263,0.00603591192322217
kujawsko-pomorskie,23.03,0.2918576239903595,0.9916241655692446,0.0038809229968799737
kujawsko-pomorskie,24.03,0.41590595698308663,0.14197736511286782,0.003750790077789345
lubelskie,13.03,0.7812752373470305,0.5256023373140978,0.00253199779532822
lubelskie,14.03,0.8707076734904619,0.8892605393359236,0.0014044049284850136
lubelskie,15.03,0.7292239373291559,0.15910134085775576,0.0005127288135946147
lubelskie,16.03,0.0,0.1623280317030303,0.0003698224852071006
lubelskie,17.03,0.7336299766716906,0.4759587474979174,7.396449704142025e-5
lubelskie,18.03,0.20966193178188205,0.3615003686162177,7.785736530675816e-5
lubelskie,19.03,0.6757051987429934,0.4465258163539927,0.0002692769970414202
lubelskie,20.03,0.13132871641172666,0.9698897272438012,0.0007282303111473939
lubelskie,21.03,0.03278576717353293,0.10761083445319565,0.0007693149895947104
lubelskie,22.03,0.32060071836630755,0.23528113725677757,8.68055555555557e-5
lubelskie,23.03,0.6648306953161245,0.8984521493798445,0.0015886452912968053
lubelskie,24.03,0.38948705289172325,0.7555505656978659,0.0002411265432098769
lubuskie,13.03,0.047113217745931746,0.16182348622763137,0.017452183699530385
lubuskie,14.03,0.5624576907308677,0.1236032796156338,0.018219488881370868
lubuskie,15.03,0.9921293675536821,0.6785347241582954,0.01514550744016453
lubuskie,16.03,0.9157262415160433,0.3257740110934785,0.03514125549144259
lubuskie,17.03,0.3485104824170745,0.30614378107089746,0.012723389383483684
lubuskie,18.03,0.7909068816238953,0.24817213545423625,0.022328102698226007
lubuskie,19.03,0.8588007988803941,0.054136384683382,0.003593684370988204
lubuskie,20.03,0.09188863672445435,0.4539467639412452,0.00641400646852433
lubuskie,21.03,0.4593621796595968,0.7060107289921684,0.009118286714068134
lubuskie,22.03,0.8704895271161527,0.18419238473520572,0.015555588707217793
lubuskie,23.03,0.08591601298205875,0.9040932442476328,0.008851515732354194
lubuskie,24.03,0.9967712522298515,0.549595267975276,0.01809086187682371
mazowieckie,13.03,0.9420043615707503,0.2246757970644468,0.01371187845810951
mazowieckie,14.03,0.2899283125682,0.910953357120021,0.015935243323796262
mazowieckie,15.03,0.22581893274217252,0.4607610855328702,0.005533843357762075
mazowieckie,16.03,0.2318994123780908,0.1723966633027676,0.005527776576725887
mazowieckie,17.03,0.37665203289972954,0.5511853876298225,0.007335003292876964
mazowieckie,18.03,0.9293804259490138,0.6271707086348801,0.0051136597737164126
mazowieckie,19.03,0.05480190097231295,0.5882344399078625,0.006147885141841268
mazowieckie,20.03,0.1193387927706855,0.3798311338155827,0.008133148651950785
mazowieckie,21.03,0.41160053937800434,0.547473566692342,0.004079777215645666
mazowieckie,22.03,0.018076844439051422,0.15909097059353697,0.0026499906680748477
mazowieckie,23.03,0.6496168893422365,0.9936935178405499,0.003514751853318125
mazowieckie,24.03,0.3909782249841691,0.7600521041129332,0.006763409718240314
małopolskie,13.03,0.5531105540554778,0.7315867873079579,0.004485654072358793
małopolskie,14.03,0.694297678464105,1.0,0.007825498839596243
małopolskie,15.03,0.8706713741538668,0.23622158338633437,0.007606147122882748
małopolskie,16.03,0.9512321497536496,0.6929126216228132,0.004134560687382622
małopolskie,17.03,0.736671063245361,0.23493799444951233,0.006378121101381735
małopolskie,18.03,0.5910309671091806,0.09971129540089468,0.0028783517764404175
małopolskie,19.03,0.00919755196957467,0.7504535228756852,0.002509381892823974
małopolskie,20.03,0.7205444038958673,0.3734013336462023,0.0026917784001757932
małopolskie,21.03,0.2649708451073087,0.4453226724755134,0.003426337583326185
małopolskie,22.03,0.45965775685553645,0.0,0.006049044624658143
małopolskie,23.03,0.859446902086991,0.8664795987552627,0.004024547557675398
małopolskie,24.03,0.6828034645448089,1.0,0.005243989398954395
opolskie,13.03,0.05781107751595545,0.30571674639004565,0.014795264035557582
opolskie,14.03,0.2825657157223406,0.36066748553888106,0.01436209395087236
opolskie,15.03,0.25589125982883615,0.877226208075067,0.017834316173094594
opolskie,16.03,0.5631173256615215,0.6146944733275744,0.024434056473829208
opolskie,17.03,0.06506637258079567,0.502224855089112,0.030476677284205694
opolskie,18.03,0.9095182042983415,0.35012368778554886,0.011845751110361518
opolskie,19.03,0.4816516551524867,0.7731231596369283,0.008222970017550431
opolskie,20.03,0.22782488222011124,0.43270324337981253,0.07183841970844813
opolskie,21.03,0.0,1.0,0.015222745473465457
opolskie,22.03,0.8102346237960304,0.40653060546895975,0.008341675116059589
