wojewodztwo,data,beta,gamma,blad
dolnośląskie,13.03,1.0,0.6886247276871906,0.006950248809279247
dolnośląskie,14.03,0.16454985665151012,0.4974823553076958,0.14586270170070592
dolnośląskie,15.03,1.0,0.7019925178840898,0.018754482102569612
dolnośląskie,16.03,1.0,0.7288825164974381,0.014738900403698277
dolnośląskie,17.03,0.3819308851080223,0.3725092034340184,0.06482553430866062
dolnośląskie,18.03,0.0990664346975488,0.167784925563875,0.11989315779920921
dolnośląskie,19.03,0.6746613836068026,0.6139782556254338,0.013736517947945706
dolnośląskie,20.03,1.0,0.7080043185439595,0.026405040263025266
dolnośląskie,21.03,0.1476273582683628,0.7306835879004285,0.1212531738362808
dolnośląskie,22.03,1.0,0.7067883162755968,0.027699122723623647
dolnośląskie,23.03,1.0,0.7220371911998121,0.02996497126841639
dolnośląskie,24.03,1.0,0.8655449285825684,0.026061417355308134
kujawsko-pomorskie,13.03,0.9882126359514695,0.9264764379557127,0.02374124549217496
kujawsko-pomorskie,14.03,0.9909842965806543,0.9718164253854473,0.01367433667491988
kujawsko-pomorskie,15.03,0.996889416446232,0.9088722925354892,0.015204337879822661
kujawsko-pomorskie,16.03,0.35717351797730573,0.36414628902686047,0.01812682937980377
kujawsko-pomorskie,17.03,0.9927556952891309,0.9129471415543061,0.022333307227243242
kujawsko-pomorskie,18.03,1.0,0.9299827180050555,0.02265777813882591
kujawsko-pomorskie,19.03,1.0,0.9355650063698557,0.012898290644909554
kujawsko-pomorskie,20.03,0.0,0.033443085574322476,0.018931583846270715
kujawsko-pomorskie,21.03,0.0214501770005649,0.03507699228593738,0.013526754125741166
kujawsko-pomorskie,22.03,1.0,0.919560728471093,0.019423140082188584
kujawsko-pomorskie,23.03,0.9993933747257779,0.9101182638469867,0.01432886298614065
kujawsko-pomorskie,24.03,0.3517403629177135,0.3450818109314091,0.012798104972934488
lubelskie,13.03,0.5113202329227189,0.21019140405016937,0.022038436811221522
lubelskie,14.03,0.22434214080631623,0.34349688823252106,0.03407336369173562
lubelskie,15.03,0.9138363934393932,0.6436352575830686,0.024544806706828272
lubelskie,16.03,0.8361221305084214,0.53612889122082,0.031203141349852657
lubelskie,17.03,0.12537358039614205,0.10572012557393876,0.050378263190561615
lubelskie,18.03,0.5259647309700646,0.6791903676154692,0.023770711862364735
lubelskie,19.03,0.5284054193720487,0.8684055333085996,0.020223193404087198
lubelskie,20.03,0.8103965059780686,0.34567306958149036,0.019724972128294826
lubelskie,21.03,0.4071746576641647,0.27810119611507816,0.0160822478030622
