wojewodztwo,data,beta,gamma,blad
dolnośląskie,13.03,0.5779555337141832,0.42237152243768133,0.00255543295048454
dolnośląskie,14.03,0.9095487618897581,0.9542553605013201,0.0030296647928848537
dolnośląskie,15.03,0.7551688988933799,0.4273019533067678,0.003387181740761662
dolnośląskie,16.03,0.4511933103459045,0.42678999114702987,0.003852585503615521
dolnośląskie,17.03,0.5077843390385336,0.0,0.002366930854922659
dolnośląskie,18.03,0.644378607567992,0.2603009392042248,0.004242089181936885
dolnośląskie,19.03,0.04432488626870972,0.22934069755471553,0.0030696286395977836
dolnośląskie,20.03,0.584676681997317,0.34978578481887523,0.004306369369500681
dolnośląskie,21.03,0.27591756341144424,0.6536287835248116,0.0011508590945027524
dolnośląskie,22.03,0.9903912073204216,0.1195972827671678,0.003155560646538453
dolnośląskie,23.03,0.059424762183068525,0.9400256970195924,0.003024137907386608
dolnośląskie,24.03,0.8575016081999709,0.21775004674762263,0.003744330281988804
kujawsko-pomorskie,13.03,0.8271773202221651,0.9425727625403434,0.0030090417003970143
kujawsko-pomorskie,14.03,0.6184940353656495,0.1942832530366622,0.0033630845156556394
kujawsko-pomorskie,15.03,0.8380799948880009,0.08218504273516446,0.0033067020895185344
kujawsko-pomorskie,16.03,0.052103748392663476,0.8247126437669123,0.0020524503888382606
kujawsko-pomorskie,17.03,0.08517538493799827,0.6367607056875649,0.005761013144010701
kujawsko-pomorskie,18.03,0.5386300041875306,0.9429418791350426,0.0019334130354480277
kujawsko-pomorskie,19.03,0.03807677358823195,0.8753718218226043,0.0013354804533163007
kujawsko-pomorskie,20.03,0.9039168662212758,0.2939063172366393,0.0033981614070702675
kujawsko-pomorskie,21.03,0.9101156579767898,0.6091334832800736,0.004610944356051842
kujawsko-pomorskie,22.03,0.42491699929310955,0.4698606229549767,0.00603591192322217
kujawsko-pomorskie,23.03,0.3556104063055358,0.7270075933295423,0.0038809229968799737
kujawsko-pomorskie,24.03,0.2601444819788842,0.5277034958439721,0.003750790077789345
lubelskie,13.03,0.4218067339613306,0.14035814186557935,0.00253199779532822
lubelskie,14.03,0.24999056768613187,0.3514445973771614,0.0014044049284850136
lubelskie,15.03,0.03492759616995453,0.0885015918316645,0.0005127288135946147
lubelskie,16.03,0.541176839502193,0.3931189257173369,0.0003698224852071006
lubelskie,17.03,0.6531645752941553,0.2100520386684419,7.396449704142025e-5
lubelskie,18.03,0.7763436298194087,0.20846897504734227,7.785736530675816e-5
lubelskie,19.03,0.6160009082568543,0.7191329004502216,0.0002692769970414202
lubelskie,20.03,0.6304137369606992,0.11499519662509763,0.0007282303111473939
lubelskie,21.03,0.6023059189992075,0.17082321504480746,0.0007693149895947104
lubelskie,22.03,0.09698159059289216,0.572206198001097,8.68055555555557e-5
lubelskie,23.03,0.8860499198307292,0.9067979247288225,0.0015886452912968053
lubelskie,24.03,0.21116232487722827,0.3032462304771021,0.0002411265432098769
lubuskie,13.03,0.9487741276968698,1.0,0.016336334007449355
lubuskie,14.03,0.21013903935023803,0.2813127608597147,0.018219488881370868
lubuskie,15.03,1.0,0.01408280756425595,0.01514550744016453
lubuskie,16.03,0.08117313511416464,0.17745786964724153,0.03514125549144259
lubuskie,17.03,0.0,0.9714075998631764,0.012723389383483684
lubuskie,18.03,0.03818943841028471,0.3573096471734236,0.022328102698226007
lubuskie,19.03,0.10030424408698661,0.3486393601083072,0.003593684370988204
lubuskie,20.03,0.4032109100306116,0.7865440873396258,0.00641400646852433
lubuskie,21.03,0.6057046967919479,0.6582470744459299,0.009118286714068134
lubuskie,22.03,0.20814823604955862,0.18807140369230088,0.015555588707217793
lubuskie,23.03,0.9159285744488996,0.29873070316902484,0.008851515732354194
lubuskie,24.03,0.8396645620595538,0.8028890799941739,0.01809086187682371
mazowieckie,13.03,0.57251286536192,0.6198151517115489,0.01371187845810951
mazowieckie,14.03,0.35278225778876793,0.921709420081148,0.015935243323796262
mazowieckie,15.03,0.20845030309998014,0.8234443690933629,0.005533843357762075
mazowieckie,16.03,0.14351717520671697,0.9018403163445494,0.005527776576725887
mazowieckie,17.03,0.4142964424167438,0.7247160848647223,0.007335003292876964
mazowieckie,18.03,0.6866408671073418,0.9894424366285487,0.0051136597737164126
mazowieckie,19.03,0.32743950082894946,0.06149290122093737,0.006147885141841268
mazowieckie,20.03,0.6196372217190097,0.6059131608343222,0.008133148651950785
mazowieckie,21.03,0.9734256770089968,0.5693716129539975,0.004079777215645666
mazowieckie,22.03,0.8389069800373158,0.9592367009498157,0.0025737937580746183
mazowieckie,23.03,0.9419839726920329,0.08650805027018597,0.003514751853318125
mazowieckie,24.03,0.5195712261148072,0.05349149909365834,0.006763409718240314
małopolskie,13.03,0.7109908371693794,0.8422249481864561,0.004485654072358793
małopolskie,14.03,0.5518465960408697,0.07549426770633133,0.007825498839596243
małopolskie,15.03,0.3433385389314497,0.24149850576339144,0.007606147122882748
małopolskie,16.03,0.7956801119081134,0.7048071037759416,0.004134560687382622
małopolskie,17.03,0.2978453068554374,0.13970187622146835,0.006378121101381735
małopolskie,18.03,0.6608288082929026,0.19812414502298797,0.0028783517764404175
małopolskie,19.03,0.39614402692015666,0.906592911571723,0.002509381892823974
małopolskie,20.03,0.4287829534584726,0.9873683940288409,0.0026917784001757932
małopolskie,21.03,0.9424297085004785,0.31136248656205656,0.003426337583326185
małopolskie,22.03,0.38790144009595834,0.45251683945505083,0.006049044624658143
małopolskie,23.03,0.3603176242628179,0.6349042373751219,0.004024547557675398
małopolskie,24.03,0.17859594725914124,0.09718568826235194,0.005243989398954395
opolskie,13.03,0.4838593888078284,0.10495077692879959,0.014795264035557582
opolskie,14.03,0.5733252337191983,0.8263753148616698,0.01436209395087236
opolskie,15.03,0.16847699695528479,0.934378044662237,0.017834316173094594
opolskie,16.03,0.3007839769044886,0.9990996627763815,0.024434056473829208
opolskie,17.03,0.36687261745679633,0.5819917334644008,0.030476677284205694
opolskie,18.03,0.5878769327478783,0.23565630001046167,0.011845751110361518
opolskie,19.03,0.5192469823101828,0.49841261955850774,0.008222970017550431
opolskie,20.03,0.3902364846629919,0.9307633526104797,0.07183841970844813
opolskie,21.03,0.0,1.0,0.015222745473465457
opolskie,22.03,0.7038020681600439,0.8111600949850606,0.008341675116059589
