"wojewodztwo" "beta_sr" "gamma_sr" "błąd_sr"
"1" "dolnośląskie" 0.435292876549538 0.251967954722979 NA
"2" "kujawsko-pomorskie" 0.442297437061954 0.424359908348676 Inf
"3" "lubelskie" 0.485210370115597 0.448805294914866 NA
"4" "lubuskie" 0.507303115703907 0.429967405284337 Inf
"5" "mazowieckie" 0.440589313706902 0.211153355477624 NA
"6" "małopolskie" 0.639562854560548 0.399594641099972 NA
"7" "opolskie" 0.154501564883618 0.233610216170082 NA
"8" "podkarpackie" 0.344993851242899 0.225047939156597 NA
"9" "podlaskie" 0.450751120739139 0.352582769851509 Inf
"10" "pomorskie" 0.366408855776668 0.551439762038098 NA
"11" "warmińsko-mazurskie" 0.317556054322118 0.443814359503015 NA
"12" "wielkopolskie" 0.402066943488308 0.270593435553822 NA
"13" "zachodniopomorskie" 0.30851877949166 0.295953367480616 NA
"14" "łódzkie" 0.466476926733599 0.357660760832527 NA
"15" "śląskie" 0.532336944080599 0.426670154232554 NA
"16" "świętokrzyskie" 0.364400449958439 0.478563911630668 NA
