"wojewodztwo" "beta_sr" "gamma_sr" "błąd_sr"
"dolnośląskie" 0.57002037496531 0.568058696701383 NA
"kujawsko-pomorskie" 0.598247807198166 0.68280771923697 NA
"lubelskie" 0.393631323782206 0.685007557306791 NA
"lubuskie" 0.389658178149384 0.551083037128976 NA
"mazowieckie" 0.442056383029234 0.385992491925534 NA
"małopolskie" 0.536102712333636 0.620887674042796 NA
"opolskie" 0.481507855982529 0.522156845816232 NA
"podkarpackie" 0.482678354900976 0.606763567596404 NA
"podlaskie" 0.363298474812022 0.566695688045928 NA
"pomorskie" 0.372489721330854 0.531538733187635 NA
"warmińsko-mazurskie" 0.420170099540592 0.61537358769906 NA
"wielkopolskie" 0.566184097949901 0.571206192579937 NA
"zachodniopomorskie" 0.470054051472346 0.507043721025966 NA
"łódzkie" 0.352982386046009 0.404822655918494 NA
"śląskie" 0.535435502493306 0.53656814563973 NA
"świętokrzyskie" 0.611681122074763 0.337774590975748 NA
