"wojewodztwo" "beta_sr" "gamma_sr" "błąd_sr"
"dolnośląskie" 0.543246342135016 0.506157082877337 0.0740545558072343
"kujawsko-pomorskie" 0.39503971416799 0.55899585782253 0.114058659505178
"lubelskie" 0.425941684655052 0.472421483686483 0.0933285231493276
"lubuskie" 0.268629122348242 0.25963545735426 0.131548579968513
"mazowieckie" 0.46424758077135 0.476911383317762 0.0956128610710318
"małopolskie" 0.532519219263895 0.369868386769032 0.102716354995704
"opolskie" 0.217205764774227 0.4442142225824 0.0939332831329782
"podkarpackie" 0.361887048462388 0.453392062429816 0.104456159378409
"podlaskie" 0.441109591799239 0.376760305528527 0.172437755567215
"pomorskie" 0.52005468528071 0.373398999758878 0.0827323009902763
"warmińsko-mazurskie" 0.25704777680236 0.344946910488159 0.0753428265035862
"wielkopolskie" 0.551069787920302 0.476593187760171 0.0555787738052282
"zachodniopomorskie" 0.401524376069812 0.453221541333873 0.076588711633823
"łódzkie" 0.464598141929991 0.460797356657215 0.102041532933031
"śląskie" 0.595707541446294 0.470908208732354 0.0933593711849698
"świętokrzyskie" 0.401298264829997 0.594952837794457 0.110726142246672
