"wojewodztwo" "beta_sr" "gamma_sr" "błąd_sr"
"dolnośląskie" 0.528029837309783 0.311028764767512 0.0786518140647419
"kujawsko-pomorskie" 0.35714667470726 0.271909426769609 0.0138332825186372
"lubelskie" 0.321846092573329 0.63732244019068 0.0273558532708271
"lubuskie" 0.063233876923413 0.111459263099585 0.0543736092085509
"mazowieckie" 0.418843231239159 0.308639301372994 0.0776661851122611
"małopolskie" 0.493904226765887 0.295112474253473 0.0626764469026344
"opolskie" 0.385087417121395 0.392017699722873 0.150147064655573
"podkarpackie" 0.715182800613209 0.624203602462076 0.0133488640362364
"podlaskie" 0.204583236696523 0.179291482859554 0.0316161704376755
"pomorskie" 0.575902392433788 0.41066513653077 0.0427314847945107
"warmińsko-mazurskie" 0.561464001112949 0.581621837508736 0.0546681885995239
"wielkopolskie" 0.149005789907308 0.193023935607692 0.0208559031502985
"zachodniopomorskie" 0.0293163856130154 0.0743066022314352 0.0679939174284037
"łódzkie" 0.381446946415373 0.290794630412191 0.0613848059107391
"śląskie" 0.457987823284109 0.35201791134966 0.0726018029940535
"świętokrzyskie" 0.179641605374395 0.20089501051967 0.0562444040515047
