"wojewodztwo" "beta_sr" "gamma_sr" "błąd_sr"
"dolnośląskie" 0.409885597398103 0.534444944566395 0.0031570642470101
"kujawsko-pomorskie" 0.475417559187291 0.532778051688865 0.00353649418799874
"lubelskie" 0.461603075460219 0.498921799642535 0.000721181297734074
"lubuskie" 0.585006024098334 0.391335516016257 0.0152194892886829
"mazowieckie" 0.386674722499535 0.531293227687301 0.00703719733600484
"małopolskie" 0.616136225936811 0.535918950826681 0.0047711177548047
"opolskie" 0.404578811012513 0.55200451151399 0.0202811841061932
"podkarpackie" 0.550128769216571 0.556423531492911 0.000960570217592222
"podlaskie" 0.563473060690168 0.565227903644604 0.0143702571774173
"pomorskie" 0.578482611372859 0.544441064765289 0.000973798078549906
"warmińsko-mazurskie" 0.381669501690128 0.553275034657571 0.00384354086302847
"wielkopolskie" 0.37578955573822 0.631109226073698 0.00285851280015972
"zachodniopomorskie" 0.542010011395682 0.545724965414531 0.00884675647353498
"łódzkie" 0.444307504858367 0.603466313364852 0.00406706973317498
"śląskie" 0.529440134021627 0.480259057544995 0.0020767689618263
"świętokrzyskie" 0.571947482282475 0.469231249996972 0.0103723101433861
