"wojewodztwo" "beta_sr" "gamma_sr" "błąd_sr"
"dolnośląskie" 0.738281194016466 0.652191070641776 NA
"kujawsko-pomorskie" 0.712268177019338 0.654620043303975 Inf
"lubelskie" 0.476613242252217 0.530114990993168 NA
"lubuskie" 0.432057126209976 0.531246491454535 Inf
"mazowieckie" 0.827878968096276 0.621668503082868 NA
"małopolskie" 0.525107799163501 0.314684118811961 NA
"opolskie" 0.511574274085463 0.592069028828177 NA
"podkarpackie" 0.502086426800693 0.445228837116579 NA
"podlaskie" 0.602753061650019 0.633280174518936 Inf
"pomorskie" 0.446732572929812 0.487733158889463 NA
"warmińsko-mazurskie" 0.447288611011781 0.704907392753677 NA
"wielkopolskie" 0.827472882222092 0.710197676696018 NA
"zachodniopomorskie" 0.489602515321696 0.484358289518763 NA
"łódzkie" 0.616219911579683 0.612232738587075 NA
"śląskie" 0.532167325734736 0.475096659937216 NA
"świętokrzyskie" 0.453135747420761 0.581474944023752 NA
