"wojewodztwo" "beta_sr" "gamma_sr" "błąd_sr"
"dolnośląskie" 0.8350713950336 0.482250687499377 0.105692722202451
"kujawsko-pomorskie" 0.796422306375905 0.666032801849162 0.0478163686767253
"lubelskie" 0.574028090463324 0.480649096186668 0.215856042177523
"lubuskie" 0.960406090556043 0.747212809144284 0.0774849379747122
"mazowieckie" 0.793058929733283 0.607867959297335 0.203000019755355
"małopolskie" 0.648167651591803 0.476058600841929 0.145757812483228
"opolskie" 0.782952109959501 0.588146981384868 0.100049401215955
"podkarpackie" 0.898702780909155 0.741267640554597 0.0511340086919298
"podlaskie" 0.725918518445298 0.608370122700146 0.0553231646772835
"pomorskie" 0.41973412406661 0.420282614710654 0.297616011135782
"warmińsko-mazurskie" 0.625043415243122 0.48934529496458 0.20209714769256
"wielkopolskie" 0.843102316611534 0.79637452440459 0.0523929811095107
"zachodniopomorskie" 0.885134449710568 0.686559922913569 0.0745594298007516
"łódzkie" 0.61662529338426 0.523951383583967 0.201252666164127
"śląskie" 0.505451730744064 0.48118339979828 0.252734966682997
"świętokrzyskie" 0.777329614399425 0.559941324939334 0.122141817345837
