"wojewodztwo" "beta_sr" "gamma_sr" "błąd_sr"
"dolnośląskie" 0.406527493482937 0.480278887839247 0.0740545558072343
"kujawsko-pomorskie" 0.568265774219551 0.511034711857804 0.114062288850416
"lubelskie" 0.709754457218292 0.528107692359651 0.0933285231493276
"lubuskie" 0.585449599203073 0.69777920654035 0.124158069752109
"mazowieckie" 0.588092551166063 0.640983783106089 0.0900011111444472
"małopolskie" 0.401842040580191 0.456404365120548 0.102716354995704
"opolskie" 0.772443130497799 0.594743926498844 0.0899330684990217
"podkarpackie" 0.324768511972183 0.731232774031386 0.104119405698088
"podlaskie" 0.416333848782404 0.465322185962436 0.172437755567215
"pomorskie" 0.393704809438201 0.458366896789482 0.0827323009902763
"warmińsko-mazurskie" 0.682827196625596 0.651997492280699 0.073775074282406
"wielkopolskie" 0.590205424886045 0.524078881009364 0.0559864583054335
"zachodniopomorskie" 0.647929001031139 0.55803204385239 0.0751827061708065
"łódzkie" 0.583298473376174 0.663794840802745 0.0976287445343974
"śląskie" 0.68677680573738 0.62031691599136 0.0902213737874083
"świętokrzyskie" 0.617562589580523 0.615721728358157 0.105388759363518
