"wojewodztwo" "beta_sr" "gamma_sr" "błąd_sr"
"dolnośląskie" 0.705652993194354 0.625359403708509 0.0513454390432269
"kujawsko-pomorskie" 0.724883289740737 0.682757265995206 0.0173037142875813
"lubelskie" 0.626986162837299 0.492774760692301 0.0273558532708271
"lubuskie" 0.935544719535652 0.865879114463468 0.0469385347578106
"mazowieckie" 0.672366902236294 0.576116425241782 0.0743804915926502
"małopolskie" 0.854158701996534 0.686167198703652 0.0458539079688415
"opolskie" 0.647225786611223 0.543977594733087 0.150078697410679
"podkarpackie" 0.549940506910542 0.489565359637016 0.0155177996792764
"podlaskie" 0.769699475057242 0.743848223080914 0.0324617734276057
"pomorskie" 0.492319641071852 0.447997920503733 0.0427314847945107
"warmińsko-mazurskie" 0.511741087384144 0.537445782213536 0.0547611161700788
"wielkopolskie" 0.62957158876564 0.59329884009507 0.0198175391123228
"zachodniopomorskie" 0.939828359124021 0.77621329128232 0.0486995733239491
"łódzkie" 0.546696469535847 0.696741922642555 0.0597754996436696
"śląskie" 0.631737419302782 0.612547794907818 0.0690194743939088
"świętokrzyskie" 0.683786102176669 0.645228457508892 0.0547726125172151
