"wojewodztwo" "beta_sr" "gamma_sr" "błąd_sr"
"dolnośląskie" 0.554855513402557 0.416762338252484 0.0031570642470101
"kujawsko-pomorskie" 0.48770347277982 0.593869968447458 0.00353649300734984
"lubelskie" 0.476693695162565 0.348262161319556 0.000721181297734074
"lubuskie" 0.445936413669926 0.490391032821431 0.0151265018143428
"mazowieckie" 0.549930374115215 0.609748475337233 0.00703084759350482
"małopolskie" 0.504558491641265 0.465981783660977 0.0047711177548047
"opolskie" 0.386550000235994 0.588387865911914 0.0202811841061932
"podkarpackie" 0.418640732804754 0.569932640991386 0.000960570217592222
"podlaskie" 0.622897297724841 0.319506552897921 0.0143702571774173
"pomorskie" 0.597461312186012 0.636929563060156 0.000973798078549906
"warmińsko-mazurskie" 0.358950765031309 0.589342452534273 0.00384354086302847
"wielkopolskie" 0.388857000237534 0.499057473018436 0.00285036383119416
"zachodniopomorskie" 0.494926219105207 0.373083741081092 0.00884675647353498
"łódzkie" 0.41975316410927 0.595177995363655 0.00406636714982527
"śląskie" 0.43296332425551 0.494164572941202 0.0020767689618263
"świętokrzyskie" 0.496024702186603 0.570802252968385 0.0103642657755614
